Street, Latitude, Longitude
biten, 22.18891575650852, 59.93207155
Bitoltol, Nane, Nane
Centrale Mefou, 11.30296974714985, 3.5941071
Cradat, 11.498848, 3.8523628
Essomba, 11.4168978, 3.552464
Lada, 18.9080821, 47.3570892
Mvog Betsi, 12.3997101, 4.6688377
Mvolye, 11.504413891747927, 3.8439189000000002
Ngoa Ekelle, 11.505962709007044, 3.85874475
Nkoabang, 11.5869673, 3.8641994
Nkolbisson, 11.4525933, 3.8745876
Nkolo, 11.4095452, 4.4248949
Nkomo, 9.5194601, 6.3578318
Nkomokui, 11.3231116, 3.8455966
Abang, 115.6021404, -8.3858748
Abattoir, 29.1857754, -5.9083819
Aerogare, -149.6105202, -17.562243
Aeroport, 2.0734266, 41.3042199
Ahala, 11.501352711355345, 3.8043974
Ahala Barriere, 11.4936317, 3.7949833
Ahala Village, 11.501352711355345, 3.8043974
Akono, 11.2870363, 3.4590503
Anguissa, 11.5374597, 3.8615261
Ayene, 11.5945465, 3.8114995
Cami Toyota, 10.445682061779678, 5.48090285
Camp Eneo, 2.1507838169934628, 44.055091
Camwater, 9.548315551727235, 4.1469205
Etoa Meki, 11.527854974704379, 3.88145525
Kondengui, 11.54411384945328, 3.85455295
Beac, -1.8323656, 47.7360371
Congelcam, 9.214816259327035, 4.011515
Ebogo, 11.4073639, 4.3444381
Ebolboum, 11.4972438, 3.0652448
Efoulan, 11.0237988, 2.8611685
Ekie, 136.9127756, 35.4897741
Ekoko, 12.1139294, 3.8180105
Ekoumdoum, 12.1428543, 3.6288155
Ekounou, 11.534205005672295, 3.84222565
Éleveurs, 11.5569033 3.8997797
Elig Edzoa, 11.52429186643489, 3.88860115
Emana, 11.3345541, 4.2717683
Emombo, 11.549043, 3.8647696
Essos, 11.543453389289224, 3.8758975500000004
Etam Bafia, 11.525522353954166, 3.85181965
Etoudi, 11.525281048671781, 3.9149770999999998
Fandena, 11.5476031, 3.886747
Fouda, 17.198302, 12.712602
Fougerol, 2.6372093, 46.0065804
Hopital Djoungolo, 11.521040950204881, 3.8841326499999997
Hopital General, -0.4599717573732728, 46.316344099999995
Institut Samba, 11.530111300510464, 3.8674822
Lada, 18.9080821, 47.3570892
Makak, 11.027836, 3.5479759
Manguiers, -72.60532106673718, 19.2047295
Marche Essos, 11.540464961692482, 3.8718779999999997
Mbankomo, 11.4024031, 3.7879071
Mefou, 11.56538, 3.63145
Mendong, 11.859193, 3.0988889
Messamendongo, 11.52232279307859, 3.7993509999999997
Messassi, 11.5184559, 3.9419351
Mfou, 11.6432106, 3.7158818
Mimboman, 11.559239979311872, 3.8629879999999996
Minkan, 10.6636486, 2.9860959
Montee Jouvence, -73.5631297, 45.3793236
Marche mokolo, 11.500203976097742, 3.8747019
Mvan, 12.2942834, 3.6163677
carrefour carriere, 4.8098163, 45.6422082
mbankolo, 11.48375, 3.90585
Mvog Ada, 11.52838751425532, 3.8635231
Mvog Atangana Mballa, 11.5192853, 3.8489256
Mvog Ebanda, 11.563639540638224, 3.9000798999999997
Ngalan, 11.5137577, 3.5353093
Ngoulmekong, 13.6170319, 3.1498972
Ngoumou, 12.899908, 4.198471
Ngousso, 11.1875256, 6.029413
Nkoabang, 11.5869673, 3.8641994
Nkolbissong, 11.4135504, 3.8748867
Nkolfoulou, 11.5596629, 4.0952411
Nkolmesseng, 11.446166, 4.3562106
Mimetala, 11.3253283, 3.2359192
Nkolondom, 11.4807528, 3.9825398
Nkomo, 9.5194601, 6.3578318
Nsam, 10.9458729, 3.269533
Nsimalen Village, 11.9283927, 3.0913407
Nsimalen, 11.9283927, 3.0913407
Nsimeyong, 12.3838574, 4.6923774
Obobogo, 11.49942870050965, 3.82022245
Odza, 11.5481749, 3.7636073
Omnisport, 4.8579744, 45.7698901
Ongot, 95.5171234, 47.2411456
Pharmacam, 10.408918647892907, 5.46987915
Province Du Centre, 80.72342798602898, 7.3819490000000005
Route Mfou, 11.6432106, 3.7158818
Santa Barbara, -119.7026673, 34.4221319
SCDP, 13.289266605403512, 4.9258019
Simbock, 11.4731585, 3.8209702
Soa Ville, 11.595412677272726, 3.9771997
Sopecam, 9.9164749, 2.9425181
Tropicana, -84.2071832, 10.0114334
Vallee Elise Bar, 4.8733699, 49.054007
etoug ebe, 11.475897162973856, 3.8521362999999997
melen, 6.8124755, 62.5835522
nkomkana, 11.4590188, 3.8430109
nlongkak, 11.518934067726416, 3.88689815
bastos, -50.7317727, -21.9222474
cite verte, 11.48901826028154, 3.8745287
biyemassi, 11.49031793947902, 3.84711155
nkol eton, 11.9092575, 4.4470658
tsinga, 11.7873105, 3.8889868
rue seper, 51.736372, 32.6685101
